K,T,T_over_K,move_m,n_measure,n_clear,all_certified,failure,wall_s,seed,N,error_mode
15,16750.26277420919,1116.6841849472794,65946.31387104595,592,25,True,,0.24433110000973102,0,15,smooth
13,18529.65561781483,1425.3581244472948,70088.27808907419,706,115,True,,0.2587220999994315,1,13,smooth
15,18043.964792452174,1202.9309861634783,71559.82396226085,584,98,True,,0.25497270000050776,2,15,smooth
15,17864.367561510146,1190.9578374340097,67391.83780755069,729,26,True,,0.23221180000109598,3,15,smooth
15,17613.517012237364,1174.234467482491,69877.58506118681,605,25,True,,0.24321209998743143,4,15,smooth
14,17572.82752962582,1255.2019664018444,65874.13764812906,713,62,True,,0.23794909998832736,5,14,smooth
13,17377.50537791771,1336.731182916747,67192.52688958855,657,21,True,,0.19713599998794962,6,13,smooth
16,17438.413525735174,1089.9008453584484,70667.06762867584,550,25,True,,0.26006210000196006,7,16,smooth
15,16795.608396206633,1119.7072264137755,65628.04198103318,571,98,True,,0.17078509999555536,8,15,smooth
12,19034.675890700404,1586.2229908917004,69933.37945350198,826,53,True,,0.21182370001042727,9,12,smooth
15,19428.188226034195,1295.2125484022797,77850.94113017095,535,238,True,,0.3237228999932995,10,15,smooth
10,18370.49212407266,1837.0492124072662,61687.4606203633,1002,27,True,,0.14373840000189375,11,10,smooth
14,17715.023057446007,1265.358789817572,66905.11528723004,688,90,True,,0.22941860000719316,12,14,smooth
16,17913.420616424482,1119.5887885265302,72227.1030821224,569,39,True,,0.26724709999689367,13,16,smooth
11,18216.92880120087,1656.0844364728064,66739.64400600434,815,19,True,,0.23209560000395868,14,11,smooth
16,17558.257164162635,1097.3910727601647,70711.28582081317,531,98,True,,0.31251930000144057,15,16,smooth
13,18207.863830143862,1400.6049100110663,67209.31915071933,795,19,True,,0.18441879999591038,16,13,smooth
15,17851.15385731832,1190.0769238212213,70560.76928659163,605,61,True,,0.3037027999962447,17,15,smooth
16,18357.126606950245,1147.3204129343903,75145.6330347512,540,53,True,,0.2964964999991935,18,16,smooth
14,18085.535708869298,1291.8239792049499,66252.67854434648,801,31,True,,0.23982889999751933,19,14,smooth
16,18369.42476385212,1148.0890477407575,71112.12381926058,675,57,True,,0.3055381000012858,20,16,smooth
12,17855.451236446526,1487.9542697038771,64102.25618223264,830,40,True,,0.2031390000047395,21,12,smooth
15,18110.267652736897,1207.3511768491264,71691.33826368442,576,128,True,,0.28053689999796916,22,15,smooth
10,18462.558747087696,1846.2558747087696,64302.793735438485,931,28,True,,0.18005609999818262,23,10,smooth
12,16300.576908076717,1358.3814090063931,60597.884540383595,699,15,True,,0.1361231999908341,24,12,smooth
13,17558.44326567793,1350.6494819752256,64407.21632838971,770,43,True,,0.23220330000913236,25,13,smooth
16,17461.96801835666,1091.3730011472912,71829.84009178329,510,31,True,,0.22155769998789765,26,16,smooth
10,17799.803053362557,1779.9803053362557,61204.015266812785,931,10,True,,0.11200140000437386,27,10,smooth
14,17606.56979632183,1257.612128308702,69242.84898160916,576,123,True,,0.2747892000043066,28,14,smooth
16,17099.64970371556,1068.7281064822225,69583.24851857778,480,119,True,,0.27366029999393504,29,16,smooth
