K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,n_aggressive_clear,n_aggressive_clear_ok,seed,N,error_mode
15,9354.195488464406,623.6130325642937,37140.97744232202,12231.346272198203,310,21,15,True,,0.17922539998835418,HEX37,ROUTE_INSERT_V3,0,37,24,36,12,19,16,12,7,0,15,smooth
13,10340.618170563983,795.4321669664603,39168.090852819885,14907.64498488106,407,23,13,True,,0.1807256000029156,HEX37,ROUTE_INSERT_V3,0,37,33,36,7,29,13,12,3,1,13,smooth
15,9788.28200908495,652.5521339389966,39636.41004542476,14391.733744170338,299,20,15,True,,0.15509759999986272,HEX37,ROUTE_INSERT_V3,0,37,23,36,9,16,18,13,8,2,15,smooth
15,10492.054833410853,699.4703222273903,39665.27416705428,15618.911444670775,411,29,15,True,,0.20954520000668708,HEX37,ROUTE_INSERT_V3,0,37,50,36,7,44,24,19,5,3,15,smooth
15,8935.170881778944,595.6780587852629,35060.85440889473,10886.379303419251,310,17,15,True,,0.14768340000591706,HEX37,ROUTE_INSERT_V3,0,37,20,36,10,17,28,10,8,4,15,smooth
14,9773.48836874962,698.1063120535443,36812.44184374809,12794.394474926161,390,22,14,True,,0.15905999999085907,HEX37,ROUTE_INSERT_V3,0,37,31,36,7,27,23,15,8,5,14,smooth
13,9240.043502217082,710.7725770936217,35135.21751108542,10461.545599542625,359,20,13,True,,0.16195679998781998,HEX37,ROUTE_INSERT_V3,0,37,26,36,10,23,17,14,8,6,13,smooth
16,8708.837095460742,544.3023184662964,34374.18547730371,10450.915031646979,293,21,16,True,,0.16205949999857694,HEX37,ROUTE_INSERT_V3,0,37,31,34,8,24,19,15,10,7,16,smooth
15,9523.14403885612,634.8762692570747,37875.720194280584,12272.74893872257,315,18,15,True,,0.14944149999064393,HEX37,ROUTE_INSERT_V3,0,37,25,36,8,20,18,9,6,8,15,smooth
12,10053.327406011365,837.7772838342804,36331.63703005684,13643.273368914977,447,33,12,True,,0.17565830000967253,HEX37,ROUTE_INSERT_V3,1,37,20,36,6,18,30,8,7,9,12,smooth
15,9266.75570787921,617.7837138586141,37448.778539396044,12151.790776029837,285,22,15,True,,0.16705409999121912,HEX37,ROUTE_INSERT_V3,0,37,26,36,9,26,19,12,6,10,15,smooth
10,10368.024079886476,1036.8024079886477,36995.12039943239,11206.443811436602,489,14,10,True,,0.12668010000197683,HEX37,ROUTE_INSERT_V3,0,37,16,36,4,15,13,5,2,11,10,smooth
14,8956.870715841904,639.7764797029931,34404.35357920953,12535.960274231305,336,18,14,True,,0.15018969999800902,HEX37,ROUTE_INSERT_V3,0,37,29,36,9,25,23,11,7,12,14,smooth
16,9446.02666066693,590.3766662916831,37480.13330333463,13495.005988230605,311,23,16,True,,0.16833699999551754,HEX37,ROUTE_INSERT_V3,0,37,31,36,8,28,25,10,3,13,16,smooth
11,9515.169670091236,865.0154245537487,33650.848350456174,8196.257337870686,457,17,11,True,,0.1332778999931179,HEX37,ROUTE_INSERT_V3,0,37,26,36,7,24,14,12,6,14,11,smooth
16,9834.450049099754,614.6531280687346,39592.25024549876,15185.303184003249,306,27,16,True,,0.20236370000930037,HEX37,ROUTE_INSERT_V3,1,37,36,36,9,30,23,15,6,15,16,smooth
13,10584.893156218388,814.2225504783376,38834.465781091916,14979.403549895538,443,55,13,True,,0.1754674999974668,HEX37,ROUTE_INSERT_V3,1,37,30,36,5,29,14,11,3,16,13,smooth
15,10149.409961918805,676.627330794587,39502.04980959398,16377.848536313822,353,42,15,True,,0.22282470000209287,HEX37,ROUTE_INSERT_V3,1,37,25,36,10,23,28,12,5,17,15,smooth
16,8605.057231297162,537.8160769560726,34010.28615648582,9466.130442138658,289,20,16,True,,0.15950530000554863,HEX37,ROUTE_INSERT_V3,0,37,28,33,9,21,16,12,8,18,16,smooth
14,9756.885163665926,696.9203688332803,35744.42581832963,11838.899340190897,423,19,14,True,,0.155959099996835,HEX37,ROUTE_INSERT_V3,0,37,26,36,7,25,28,8,4,19,14,smooth
16,9363.90063857707,585.2437899110669,37089.50319288534,12546.599919510534,313,20,16,True,,0.159143299999414,HEX37,ROUTE_INSERT_V3,0,37,29,36,10,19,26,12,8,20,16,smooth
12,9753.352091735971,812.7793409779975,36346.76045867985,12131.608207155788,407,15,12,True,,0.1337301000021398,HEX37,ROUTE_INSERT_V3,0,37,15,36,8,14,17,5,3,21,12,smooth
15,9370.957660803286,624.7305107202191,36574.788304016445,12461.715518482295,331,20,15,True,,0.1502706000028411,HEX37,ROUTE_INSERT_V3,0,37,26,36,8,21,20,11,7,22,15,smooth
